signal_time,entry_time,exit_time,direction,signal_move_percentile,entry_price,exit_price,atr_at_entry,stop_price,exit_reason,holding_hours,gross_pnl_pct,funding_pnl_pct,cost_pct,net_pnl_pct
2024-10-25 17:00:00+00:00,2024-10-25 18:00:00+00:00,2024-10-25 23:00:00+00:00,long,0.9819444444444444,66807.7,65792.08347640153,507.8082617992301,65792.08347640153,stop,5,-0.015202087837157489,0.0,0.0022,-0.01740208783715749
2024-10-28 07:00:00+00:00,2024-10-28 08:00:00+00:00,2024-10-28 12:00:00+00:00,short,0.9166666666666666,68395.3,68967.09994660864,285.8999733043183,68967.09994660864,stop,4,-0.008360222801985414,0.0,0.0022,-0.010560222801985415
2024-10-28 15:00:00+00:00,2024-10-28 16:00:00+00:00,2024-10-29 00:00:00+00:00,long,0.8527777777777777,68459.1,69939.5,339.7824924991273,67779.53501500175,horizon,8,0.021624590448895677,0.0,0.0014,0.020224590448895678
2024-10-29 01:00:00+00:00,2024-10-29 02:00:00+00:00,2024-10-29 02:00:00+00:00,short,0.8402777777777778,70286.9,71121.71217214539,417.40608607269456,71121.71217214539,stop,0,-0.011877208585744906,0.0,0.0022,-0.014077208585744906
2024-10-29 02:00:00+00:00,2024-10-29 03:00:00+00:00,2024-10-29 11:00:00+00:00,short,0.9819444444444444,71173.8,71440.1,488.2270799246445,72150.2541598493,horizon,8,-0.00374154534393278,0.0001,0.0014,-0.00504154534393278
2024-10-29 12:00:00+00:00,2024-10-29 13:00:00+00:00,2024-10-29 21:00:00+00:00,long,0.8263888888888888,71093.8,72300.0,410.894626900323,70272.01074619936,horizon,8,0.016966317737974298,0.0,0.0014,0.015566317737974298
2024-10-29 22:00:00+00:00,2024-10-29 23:00:00+00:00,2024-10-30 07:00:00+00:00,short,0.85,72676.8,72244.8,577.5880605513423,73831.97612110269,horizon,8,0.005944125222904695,0.0001,0.0014,0.004644125222904695
2024-10-30 09:00:00+00:00,2024-10-30 10:00:00+00:00,2024-10-30 18:00:00+00:00,short,0.8055555555555556,72590.6,71990.0,444.6812961621392,73479.96259232429,horizon,8,0.008273798535898666,0.0,0.0014,0.006873798535898666
2024-10-30 20:00:00+00:00,2024-10-30 21:00:00+00:00,2024-10-31 05:00:00+00:00,short,0.9930555555555556,72868.0,72298.1,504.16396299472217,73876.32792598945,horizon,8,0.007820991381676376,0.0001,0.0014,0.006520991381676375
2024-10-31 10:00:00+00:00,2024-10-31 11:00:00+00:00,2024-10-31 19:00:00+00:00,short,0.8111111111111111,72641.8,70128.1,394.29830456967267,73430.39660913935,horizon,8,0.03460404340200817,0.0001,0.0014,0.033304043402008175
2024-10-31 19:00:00+00:00,2024-10-31 20:00:00+00:00,2024-11-01 02:00:00+00:00,long,0.925,70128.0,69108.3325302252,509.8337348874002,69108.3325302252,stop,6,-0.014540090545499585,-0.0001,0.0022,-0.016840090545499585
2024-11-01 06:00:00+00:00,2024-11-01 07:00:00+00:00,2024-11-01 15:00:00+00:00,long,0.8708333333333333,69240.0,69381.0,494.1222524563504,68251.7554950873,horizon,8,0.0020363951473136915,-0.0001,0.0014,0.0005363951473136915
2024-11-01 15:00:00+00:00,2024-11-01 16:00:00+00:00,2024-11-02 00:00:00+00:00,long,0.9958333333333333,69381.1,69671.4,654.001518469029,68073.09696306195,horizon,8,0.004184136602042751,0.0,0.0014,0.002784136602042751
2024-11-03 02:00:00+00:00,2024-11-03 03:00:00+00:00,2024-11-03 11:00:00+00:00,long,0.9791666666666666,68200.0,68345.4,348.39976330907024,67503.20047338186,horizon,8,0.002131964809384079,-0.0001,0.0014,0.0006319648093840791
2024-11-03 13:00:00+00:00,2024-11-03 14:00:00+00:00,2024-11-03 22:00:00+00:00,long,0.9069444444444444,68034.9,68863.9,353.6005924930433,67327.69881501391,horizon,8,0.012184922738182905,-0.0001,0.0014,0.010684922738182905
2024-11-04 02:00:00+00:00,2024-11-04 03:00:00+00:00,2024-11-04 11:00:00+00:00,short,0.8277777777777777,69288.7,68778.0,460.3975838040654,70209.49516760813,horizon,8,0.007370610214941211,0.0001,0.0014,0.006070610214941211
2024-11-04 13:00:00+00:00,2024-11-04 14:00:00+00:00,2024-11-04 16:00:00+00:00,long,0.8111111111111111,68649.9,67781.60866378281,434.1456681085894,67781.60866378281,stop,2,-0.012648107808127647,0.0,0.0022,-0.014848107808127647
2024-11-04 16:00:00+00:00,2024-11-04 17:00:00+00:00,2024-11-05 01:00:00+00:00,long,0.9847222222222223,67736.8,67983.3,501.569909925135,66733.66018014973,horizon,8,0.0036390854011408864,-0.0001,0.0014,0.0021390854011408868
2024-11-05 03:00:00+00:00,2024-11-05 04:00:00+00:00,2024-11-05 12:00:00+00:00,short,0.8638888888888889,68226.2,68842.6,524.0831555741344,69274.36631114826,horizon,8,-0.009034652376946228,0.0,0.0014,-0.010434652376946229
2024-11-05 14:00:00+00:00,2024-11-05 15:00:00+00:00,2024-11-05 23:00:00+00:00,short,0.9944444444444445,69947.4,69353.1,492.40468295536175,70932.20936591072,horizon,8,0.00849638442601138,0.0,0.0014,0.00709638442601138
2024-11-06 00:00:00+00:00,2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00,short,0.9944444444444445,71058.6,72560.41326830159,750.9066341507933,72560.41326830159,stop,1,-0.021134855855611936,0.0,0.0022,-0.023334855855611937
2024-11-06 02:00:00+00:00,2024-11-06 03:00:00+00:00,2024-11-06 03:00:00+00:00,short,0.9972222222222222,73079.0,74830.70021603555,875.8501080177763,74830.70021603555,stop,0,-0.02396995328391943,0.0,0.0022,-0.02616995328391943
2024-11-06 03:00:00+00:00,2024-11-06 04:00:00+00:00,2024-11-06 12:00:00+00:00,short,0.9902777777777778,74367.1,74187.9,999.2679574450788,76365.63591489017,horizon,8,0.002409667715965953,0.0001,0.0014,0.001109667715965953
